episode_info,min_scene,max_scene
"Season 1, Eposide 1 (Pilot)",1,39
"Season 1, Eposide 2 (Diversity Day)",40,68
"Season 1, Eposide 3 (Health Care)",69,106
"Season 1, Eposide 4 (The Alliance)",107,154
"Season 1, Eposide 5 (Basketball)",155,191
"Season 1, Eposide 6 (Hot Girl)",192,227
"Season 2, Eposide 1 (The Dundies)",228,283
"Season 2, Eposide 2 (Sexual Harassment)",284,327
"Season 2, Eposide 3 (Office Olympics)",328,375
"Season 2, Eposide 4 (The Fire)",376,428
"Season 2, Eposide 5 (Halloween)",429,469
"Season 2, Eposide 6 (The Fight)",470,502
"Season 2, Eposide 7 (The Client)",503,546
"Season 2, Eposide 8 (Performance Review)",547,581
"Season 2, Eposide 9 (E-Mail Surveillance)",582,619
"Season 2, Eposide 10 (Christmas Party)",620,681
"Season 2, Eposide 11 (Booze Cruise)",682,719
"Season 2, Eposide 12 (The Injury)",720,756
"Season 2, Eposide 13 (The Secret)",757,799
"Season 2, Eposide 14 (The Carpet)",800,853
"Season 2, Eposide 15 (Boys & Girls)",854,905
"Season 2, Eposide 16 (Valentine's Day)",906,947
"Season 2, Eposide 17 (Dwight's Speech)",948,989
"Season 2, Eposide 18 (Take Your Daughter to Work Day)",990,1030
"Season 2, Eposide 19 (Michael's Birthday)",1031,1068
"Season 2, Eposide 20 (Drug Testing)",1069,1106
"Season 2, Eposide 21 (Conflict Resolution)",1107,1165
"Season 2, Eposide 22 (Casino Night)",1166,1218
"Season 3, Eposide 1 (Gay Witch Hunt)",1219,1268
"Season 3, Eposide 2 (The Convention)",1269,1311
"Season 3, Eposide 3 (The Coup)",1312,1367
"Season 3, Eposide 4 (Grief Counseling)",1368,1402
"Season 3, Eposide 5 (Initiation)",1403,1445
"Season 3, Eposide 6 (Diwali)",1446,1490
"Season 3, Eposide 7 (Branch Closing)",1491,1541
"Season 3, Eposide 8 (The Merger)",1542,1602
"Season 3, Eposide 9 (The Convict)",1603,1634
"Season 3, Eposide 10 (A Benihana Christmas (Parts 1&2))",1635,1706
"Season 3, Eposide 12 (Back from Vacation)",1707,1740
"Season 3, Eposide 13 (Traveling Salesmen)",1741,1791
"Season 3, Eposide 14 (The Return)",1792,1835
"Season 3, Eposide 15 (Ben Franklin)",1836,1881
"Season 3, Eposide 16 (Phyllis' Wedding)",1882,1935
"Season 3, Eposide 17 (Business School)",1936,1976
"Season 3, Eposide 18 (Cocktails)",1977,2024
"Season 3, Eposide 19 (The Negotiation)",2025,2078
"Season 3, Eposide 20 (Safety Training)",2079,2116
"Season 3, Eposide 21 (Product Recall)",2117,2161
"Season 3, Eposide 22 (Women's Appreciation)",2162,2202
"Season 3, Eposide 23 (Beach Games)",2203,2257
"Season 3, Eposide 24 (The Job (Parts 1&2))",2258,2333
"Season 4, Eposide 1 (Fun Run (Parts 1&2))",2334,2408
"Season 4, Eposide 3 (Dunder Mifflin Infinity (Parts 1&2))",2409,2473
"Season 4, Eposide 5 (Launch Party (Parts 1&2))",2474,2545
"Season 4, Eposide 7 (Money (Parts 1&2))",2546,2628
"Season 4, Eposide 9 (Local Ad)",2629,2669
"Season 4, Eposide 10 (Branch Wars)",2670,2707
"Season 4, Eposide 11 (Survivor Man)",2708,2763
"Season 4, Eposide 12 (The Deposition)",2764,2802
"Season 4, Eposide 13 (Dinner Party)",2803,2824
"Season 4, Eposide 14 (Chair Model)",2825,2865
"Season 4, Eposide 15 (Night Out)",2866,2908
"Season 4, Eposide 16 (Did I Stutter?)",2909,2937
"Season 4, Eposide 17 (Job Fair)",2938,2977
"Season 4, Eposide 18 (Goodbye, Toby (Parts 1&2))",2978,3059
"Season 5, Eposide 1 (Weight Loss (Parts 1&2))",3060,3154
"Season 5, Eposide 3 (Business Ethics)",3155,3175
"Season 5, Eposide 4 (Baby Shower)",3176,3215
"Season 5, Eposide 5 (Crime Aid)",3216,3258
"Season 5, Eposide 6 (Employee Transfer)",3259,3300
"Season 5, Eposide 7 (Customer Survey)",3301,3336
"Season 5, Eposide 8 (Business Trip)",3337,3372
"Season 5, Eposide 9 (Frame Toby)",3373,3401
"Season 5, Eposide 10 (The Surplus)",3402,3431
"Season 5, Eposide 11 (Moroccan Christmas)",3432,3480
"Season 5, Eposide 12 (The Duel)",3481,3512
"Season 5, Eposide 13 (Prince Family Paper)",3513,3538
"Season 5, Eposide 14 (Stress Relief (Parts 1&2))",3539,3607
"Season 5, Eposide 16 (Lecture Circuit (Part 1))",3608,3637
"Season 5, Eposide 17 (Lecture Circuit (Part 2))",3638,3668
"Season 5, Eposide 18 (Blood Drive)",3669,3707
"Season 5, Eposide 19 (Golden Ticket)",3708,3739
"Season 5, Eposide 20 (New Boss)",3740,3773
"Season 5, Eposide 21 (Two Weeks)",3774,3818
"Season 5, Eposide 22 (Dream Team)",3819,3858
"Season 5, Eposide 23 (The Michael Scott Paper Company)",3859,3897
"Season 5, Eposide 24 (Heavy Competition)",3898,3938
"Season 5, Eposide 25 (Broke)",3939,3969
"Season 5, Eposide 26 (Casual Friday)",3970,4004
"Season 5, Eposide 27 (Cafe Disco)",4005,4049
"Season 5, Eposide 28 (Company Picnic)",4050,4090
"Season 6, Eposide 1 (Gossip)",4091,4121
"Season 6, Eposide 2 (The Meeting)",4122,4155
"Season 6, Eposide 3 (The Promotion)",4156,4184
"Season 6, Eposide 4 (Niagara (Parts 1&2))",4185,4262
"Season 6, Eposide 6 (Mafia)",4263,4294
"Season 6, Eposide 7 (The Lover)",4295,4324
"Season 6, Eposide 8 (Koi Pond)",4325,4363
"Season 6, Eposide 9 (Double Date)",4364,4407
"Season 6, Eposide 10 (Murder)",4408,4458
"Season 6, Eposide 11 (Shareholder Meeting)",4459,4507
"Season 6, Eposide 12 (Scott's Tots)",4508,4544
"Season 6, Eposide 13 (Secret Santa)",4545,4589
"Season 6, Eposide 14 (The Banker)",4590,4610
"Season 6, Eposide 15 (Sabre)",4611,4652
"Season 6, Eposide 16 (The Manager and the Salesman)",4653,4695
"Season 6, Eposide 17 (The Delivery (Parts 1&2))",4696,4765
"Season 6, Eposide 19 (St. Patrick's Day)",4766,4810
"Season 6, Eposide 20 (New Leads)",4811,4845
"Season 6, Eposide 21 (Happy Hour)",4846,4897
"Season 6, Eposide 22 (Secretary's Day)",4898,4934
"Season 6, Eposide 23 (Body Language)",4935,4984
"Season 6, Eposide 24 (The Cover-Up)",4985,5026
"Season 6, Eposide 25 (The Chump)",5027,5068
"Season 6, Eposide 26 (Whistleblower)",5069,5112
"Season 7, Eposide 1 (Nepotism)",5113,5149
"Season 7, Eposide 2 (Counseling)",5150,5191
"Season 7, Eposide 3 (Andy's Play)",5192,5233
"Season 7, Eposide 4 (s*x Ed)",5234,5269
"Season 7, Eposide 5 (The Sting)",5270,5304
"Season 7, Eposide 6 (Costume Contest)",5305,5357
"Season 7, Eposide 7 (Christening)",5358,5405
"Season 7, Eposide 8 (Viewing Party)",5406,5447
"Season 7, Eposide 9 (WUPHF.com)",5448,5484
"Season 7, Eposide 10 (China)",5485,5519
"Season 7, Eposide 11 (Classy Christmas (Parts 1&2))",5520,5598
"Season 7, Eposide 13 (Ultimatum)",5599,5634
"Season 7, Eposide 14 (The Seminar)",5635,5681
"Season 7, Eposide 15 (The Search)",5682,5707
"Season 7, Eposide 16 (PDA)",5708,5748
"Season 7, Eposide 17 (Threat Level Midnight)",5749,5790
"Season 7, Eposide 18 (Todd Packer)",5791,5820
"Season 7, Eposide 19 (Garage Sale)",5821,5859
"Season 7, Eposide 20 (Training Day)",5860,5894
"Season 7, Eposide 21 (Michael's Last Dundies)",5895,5923
"Season 7, Eposide 22 (Goodbye, Michael)",5924,5973
"Season 7, Eposide 23 (The Inner Circle)",5974,6012
"Season 7, Eposide 24 (Dwight K. Schrute, (Acting) Manager)",6013,6044
"Season 7, Eposide 25 (Search Committee (Parts 1&2))",6045,6124
"Season 8, Eposide 1 (The List)",6125,6169
"Season 8, Eposide 2 (The Incentive)",6170,6202
"Season 8, Eposide 3 (Lotto)",6203,6238
"Season 8, Eposide 4 (Garden Party)",6239,6287
"Season 8, Eposide 5 (Spooked)",6288,6336
"Season 8, Eposide 6 (Doomsday)",6337,6380
"Season 8, Eposide 7 (Pam's Replacement)",6381,6416
"Season 8, Eposide 8 (Gettysburg)",6417,6452
"Season 8, Eposide 9 (Mrs. California)",6453,6489
"Season 8, Eposide 10 (Christmas Wishes)",6490,6531
"Season 8, Eposide 11 (Trivia)",6532,6556
"Season 8, Eposide 12 (Pool Party)",6557,6594
"Season 8, Eposide 13 (Jury Duty)",6595,6631
"Season 8, Eposide 14 (Special Project)",6632,6672
"Season 8, Eposide 15 (Tallahassee)",6673,6708
"Season 8, Eposide 16 (After Hours)",6709,6749
"Season 8, Eposide 17 (Test The Store)",6750,6778
"Season 8, Eposide 18 (Last Day In Florida)",6779,6818
"Season 8, Eposide 19 (Get The Girl)",6819,6859
"Season 8, Eposide 20 (Welcome Party)",6860,6884
"Season 8, Eposide 21 (Angry Andy)",6885,6935
"Season 8, Eposide 22 (Fundraiser)",6936,6973
"Season 8, Eposide 23 (Turf War)",6974,7009
"Season 8, Eposide 24 (Free Family Portrait Studio)",7010,7053
"Season 9, Eposide 1 (The New Guys)",7054,7109
"Season 9, Eposide 2 (Roy's Wedding)",7110,7156
"Season 9, Eposide 3 (Andy's Ancestry)",7157,7204
"Season 9, Eposide 4 (Work Bus)",7205,7242
"Season 9, Eposide 5 (Here Comes Treble)",7243,7281
"Season 9, Eposide 6 (The Boat)",7282,7328
"Season 9, Eposide 7 (The Whale)",7329,7367
"Season 9, Eposide 8 (The Target)",7368,7403
"Season 9, Eposide 9 (Dwight Christmas)",7404,7443
"Season 9, Eposide 10 (Lice)",7444,7495
"Season 9, Eposide 11 (Suit Warehouse)",7496,7531
"Season 9, Eposide 12 (Customer Loyalty)",7532,7582
"Season 9, Eposide 13 (Junior Salesman)",7583,7629
"Season 9, Eposide 14 (Vandalism)",7630,7667
"Season 9, Eposide 15 (Couples Discount)",7668,7702
"Season 9, Eposide 16 (Moving On)",7703,7754
"Season 9, Eposide 17 (The Farm)",7755,7790
"Season 9, Eposide 18 (Promos)",7791,7825
"Season 9, Eposide 19 (Stairmageddon)",7826,7873
"Season 9, Eposide 20 (Paper Airplane)",7874,7919
"Season 9, Eposide 21 (Livin' the Dream)",7920,7972
"Season 9, Eposide 22 (A.A.R.M)",7973,8042
"Season 9, Eposide 24 (Finale)",8043,8157
